insight_id,theme,user_intent,product_insight,status,first_seen,last_seen
INS-001,production-readiness,Launch a workflow for real external signers,"Users need a clear path from a draft workflow to full production use, including publish readiness, e-signature legal compliance, monitoring, audit trail, custom domains, and operational checks.",new,2026-08-12,2026-08-12
INS-002,trust-security,Know whether uploaded documents and extracted data are secure,"Security is a major trust gap, especially for non-technical ops/legal users. Add automated document security review, PII/PHI detection, access-control checks, encryption-at-rest verification, and understandable risk explanations.",validated,2026-08-12,2026-08-12
INS-003,trust-security,Get confidence in extraction without understanding the OCR,"The product should translate extraction confidence into plain language: ""high confidence"", ""needs review"", ""not ready to publish"", with concrete reasons and fixes for low-confidence fields.",validated,2026-08-12,2026-08-12
INS-004,production-readiness,Move from a manual pilot workflow to full-scale processing without rebuilding,"Users expect the workflow to remain maintainable as document volume grows. Extraction accuracy and routing-rule maintainability become increasingly important as usage scales.",new,2026-08-12,2026-08-12
INS-005,production-readiness,Make last-minute changes to a workflow safely,"Users need a safe rapid-iteration mode: preview changes against sample documents, regression checks against past automation runs, rollback, change summaries, and warnings when an instruction edit could break existing extraction rules.",new,2026-08-12,2026-08-12
INS-006,iteration-feedback-recovery,Iterate a workflow from signer/submitter feedback,"Support a feedback-to-improvement loop: paste submitter feedback, classify it, identify duplicates, prioritize it, and turn accepted feedback into scoped workflow refinements.",new,2026-08-12,2026-08-12
INS-007,iteration-feedback-recovery,Test a workflow without requiring a real signer account,"Ops teams care about reducing rollout friction. The platform could proactively suggest sandbox mode, seeded sample documents, anonymous test submissions, and shareable preview portals.",new,2026-08-12,2026-08-12
INS-008,ai-cost-control,Add AI extraction for a new document type quickly,"New document types are becoming expected out of the box. Provide reusable extraction patterns for contracts, invoices, intake forms, purchase orders, structured field extraction, clause detection, and instruction management.",new,2026-08-12,2026-08-12
INS-009,ai-cost-control,Control AI extraction cost and availability at scale,"Users need cost controls: page-volume quota estimates, budget limits, usage dashboards, model fallbacks, caching of repeated extractions, rate limiting, and alerts before OCR/extraction APIs fail.",new,2026-08-12,2026-08-12
INS-010,production-readiness,Understand processing limitations before a high-volume launch,"Automatically surface scaling risks based on workflow design, such as page-volume limits, concurrent extraction throughput, API quotas, storage limits, and expensive multi-clause extraction rules.",new,2026-08-12,2026-08-12
INS-011,platform-intelligence,Build workflows that pull in location-based or external reference data,"Address verification, entity/company lookups, geolocation-based routing, and external-data ingestion (registries, sanctions lists) should be first-class patterns rather than something users assemble manually.",new,2026-08-12,2026-08-12
INS-012,platform-intelligence,Get the published portal discoverable and trustworthy for external signers,"Portal presentation remains a weak point for generated document portals. Provide native custom branding, metadata previews, verified-sender indicators, structured confirmation emails, and portal-health validation.",new,2026-08-12,2026-08-12
INS-013,platform-intelligence,Solve extraction/routing edge cases without understanding the underlying OCR model,"The system should detect when requested extraction behavior conflicts with the current template/field setup and automatically choose the right field mapping rather than repeatedly editing the wrong rule.",new,2026-08-12,2026-08-12
INS-014,maintainability,Upgrade older workflows built on earlier template versions,"Long-lived workflows need migrations. Automated template upgrades, extraction-model updates, compatibility checks, and rule modernization become important as the installed base matures.",new,2026-08-12,2026-08-12
INS-015,ai-cost-control,Avoid endless page-credit consumption from repeated extraction corrections,"Likely frustration around inefficient instruction-writing and repeated correction. Show estimated processing complexity, explain what consumed page credits, reduce unnecessary re-extraction, and reuse previous extraction context.",new,2026-08-12,2026-08-12
INS-016,iteration-feedback-recovery,Know whether a requested extraction/routing change actually worked,"Workflows need automated acceptance testing. After every meaningful change, test extraction accuracy, routing logic, approval steps, signature collection, and delivery on sample documents.",new,2026-08-12,2026-08-12
INS-017,iteration-feedback-recovery,Recover when a workflow edit breaks extraction or routing,"Strong versioning is critical: checkpoints, side-by-side extraction diffs, one-click rollback, branch-like experiments, and ""restore last working version.""",new,2026-08-12,2026-08-12
INS-018,platform-intelligence,"Ask for outcomes, not implementation details, when configuring a workflow","The interface should remain intent-driven. The platform should translate ""make sure vendors can sign from their phone"" into the right mix of mobile-friendly forms, routing, notifications, and publish configuration.",new,2026-08-12,2026-08-12
INS-019,iteration-feedback-recovery,Share a workflow early and collect feedback before full rollout,"Include lightweight public preview portals, feedback widgets, submission replay, annotation, and automatically summarized feedback.",new,2026-08-12,2026-08-12
